ZCTA,NoReadmission,Year
01001,0.545889924905428,2015
01007,0.544318595161001,2015
01008,0.543659836862925,2015
01009,0.54254276917607,2015
01010,0.543923336077487,2015
01011,0.54038997720395,2015
01013,0.546605145905695,2015
01020,0.546273714708242,2015
01022,0.541790452086411,2015
01028,0.550164520710546,2015
01030,0.550726825062357,2015
01031,0.541245499406619,2015
01033,0.548812180355343,2015
01034,0.535567333180126,2015
01036,0.539021147024076,2015
01037,0.534433766227994,2015
01040,0.537490226716213,2015
01056,0.533248893731214,2015
01057,0.53804931645786,2015
01069,0.544966614098216,2015
01071,0.542550834723627,2015
01075,0.540714786856087,2015
01077,0.546451334320994,2015
01079,0.542428209507185,2015
01080,0.540560075472302,2015
01081,0.547822911911894,2015
01082,0.539780224169738,2015
01085,0.547058431198563,2015
01086,0.545955135155964,2015
01089,0.543762908426261,2015
01095,0.545972676750551,2015
01097,0.543924663962384,2015
01103,0.544010819362008,2015
01104,0.54407335458702,2015
01105,0.533760839898086,2015
01106,0.547577456257147,2015
01107,0.543073193841001,2015
01108,0.547116899920982,2015
01109,0.542256340007553,2015
01118,0.548568441887206,2015
01119,0.538132030565464,2015
01128,0.541878061006311,2015
01129,0.542317721270388,2015
01151,0.547023778999677,2015
01199,0.541859961495756,2015
01531,0.540058387194158,2015
01002,0.538134595089925,2015
01003,0.536434941751092,2015
01012,0.542809969747652,2015
01026,0.530650331767399,2015
01027,0.532285667314049,2015
01032,0.532315910135149,2015
01035,0.532107285583581,2015
01038,0.527367143030115,2015
01039,0.536780121181058,2015
01050,0.540243004798739,2015
01053,0.532948528066324,2015
01054,0.536663246458151,2015
01060,0.537408685831432,2015
01062,0.539203329874801,2015
01063,0.535287511378954,2015
01066,0.535969346460175,2015
01070,0.525403187127726,2015
01072,0.533213877836612,2015
01073,0.546262789532692,2015
01084,0.538692487180594,2015
01088,0.535751748041458,2015
01093,0.534302948153921,2015
01096,0.530188588679706,2015
01098,0.534916827749391,2015
01355,0.530954270457867,2015
01373,0.539878844090444,2015
01005,0.53865374715635,2015
01074,0.541324476558308,2015
01094,0.54113610699965,2015
01331,0.550241407427297,2015
01364,0.540512684308232,2015
01366,0.545115209354309,2015
01368,0.549109572305583,2015
01378,0.543541408196132,2015
01379,0.545675679841888,2015
01430,0.540466520361564,2015
01436,0.543574308848984,2015
01438,0.549699960812205,2015
01440,0.537386456322264,2015
01452,0.541009635774051,2015
01468,0.535461301711839,2015
01473,0.537884390425988,2015
01475,0.538361922514939,2015
01029,0.541509560328763,2015
01201,0.536166788922102,2015
01220,0.552395639307844,2015
01222,0.54243646900768,2015
01223,0.550989061567408,2015
01224,0.546753128804584,2015
01225,0.537183371953918,2015
01226,0.541750799092517,2015
01229,0.537701715860225,2015
01230,0.541384810132069,2015
01235,0.542544510891148,2015
01236,0.530101352805356,2015
01237,0.547199059423505,2015
01238,0.532439868998974,2015
01240,0.537631854126475,2015
01242,0.526551041839368,2015
01243,0.544981506242925,2015
01244,0.539888172592599,2015
01245,0.544526595354711,2015
01247,0.539271289637214,2015
01253,0.538170081029993,2015
01254,0.537394785859649,2015
01255,0.543691994406353,2015
01256,0.538180126390065,2015
01257,0.538722418753777,2015
01258,0.534697115773583,2015
01259,0.544794558147547,2015
01260,0.536086511961288,2015
01262,0.549120132503902,2015
01264,0.543577913603618,2015
01266,0.540227584621221,2015
01267,0.534919369205,2015
01270,0.539975360881912,2015
01343,0.53718928933418,2015
01350,0.535831502412167,2015
05352,0.532486013552107,2015
01083,0.533879558667664,2015
01092,0.528353100746707,2015
01420,0.527604342814254,2015
01431,0.530870048882173,2015
01432,0.535452936032292,2015
01434,0.531730519561939,2015
01450,0.530841933304166,2015
01451,0.5370417775106,2015
01453,0.52812137923607,2015
01460,0.528380958614058,2015
01462,0.536547124246852,2015
01463,0.536502970947682,2015
01464,0.534330891827481,2015
01467,0.534624357900337,2015
01469,0.536144105973816,2015
01474,0.53549765631742,2015
01501,0.54061823254247,2015
01503,0.53216018735316,2015
01504,0.530663678550485,2015
01506,0.530045420254839,2015
01507,0.531024038359866,2015
01510,0.52930791284395,2015
01515,0.532016365213364,2015
01516,0.536421307376128,2015
01518,0.533447128934451,2015
01519,0.537324216272169,2015
01521,0.532446040319307,2015
01523,0.537473321371828,2015
01525,0.537442580606481,2015
01529,0.526945671637536,2015
01532,0.532487305249959,2015
01534,0.533581913052604,2015
01535,0.528224369662665,2015
01537,0.533225798275613,2015
01540,0.537914395830096,2015
01550,0.538887103412231,2015
01561,0.53606271171176,2015
01564,0.526350239097873,2015
01566,0.537259217838461,2015
01568,0.537005836966563,2015
01569,0.523400199411356,2015
01570,0.524955757360351,2015
01571,0.538133330969516,2015
01581,0.535419953736248,2015
01585,0.539663253210736,2015
01588,0.531343180621161,2015
01701,0.53282355385887,2015
01702,0.526178285866866,2015
01718,0.541884531449643,2015
01719,0.534179462917416,2015
01720,0.534051771323271,2015
01721,0.536394098768697,2015
01740,0.531828903386972,2015
01742,0.533865187331282,2015
01745,0.534060278502364,2015
01746,0.537450537800783,2015
01747,0.536535460396477,2015
01748,0.539380399882824,2015
01749,0.549563591538038,2015
01752,0.543042327730355,2015
01754,0.529814893296076,2015
01756,0.534673196820728,2015
01757,0.529556185738984,2015
01760,0.525730918078857,2015
01770,0.528768488224346,2015
01772,0.53517695396077,2015
01773,0.538081687339738,2015
01775,0.527628515921443,2015
01776,0.549385103868394,2015
01778,0.528641612966976,2015
01824,0.537020377018729,2015
01826,0.537838744291222,2015
01827,0.530541897598666,2015
01850,0.533783342430592,2015
01851,0.54142803116327,2015
01852,0.533834887844997,2015
01854,0.525294322617032,2015
01863,0.533800951888895,2015
01876,0.53106913712,2015
01879,0.536931428753861,2015
01886,0.527836191094443,2015
02019,0.532404883740671,2015
02026,0.539494332571254,2015
02030,0.542534432506976,2015
02038,0.527333445594498,2015
02052,0.532184577658004,2015
02053,0.547061411000075,2015
02054,0.532894900063929,2015
02090,0.531181317606079,2015
02492,0.523265847730272,2015
02494,0.53831718667559,2015
01301,0.549253042996643,2015
01330,0.543781505064911,2015
01337,0.548262437379562,2015
01338,0.541742363196721,2015
01339,0.544372433795351,2015
